Idade,Anos_Experiencia,Escolaridade,Segunda_Lingua,Terceira_Lingua,Regiao,Profissao,Salario
25.0,22.0,Mestrado,Inglês,Nenhuma,Sudeste,Cientista,23576.89
61.0,24.0,Médio,Francês,Nenhuma,Sudeste,Arquiteto,8304.75
50.0,29.0,Pós,Francês,Nenhuma,Sul,Pesquisador,419033.8
59.0,28.0,Superior,Inglês,Inglês,Nordeste,Administrador,11485.91
52.0,30.0,Doutorado,Inglês,Inglês,Sul,Advogado,44013.21
23.0,17.0,Superior,Inglês,Inglês,Sudeste,Pesquisador,16637.79
56.0,18.0,Médio,Inglês,Alemão,Sudeste,Analista de Dados,10435.8
40.0,3.0,Superior,Alemão,Inglês,Sudeste,Médico,11823.89
42.0,0.0,Médio,Inglês,Inglês,Sudeste,Designer,5618.21
60.0,14.0,Técnico,Italiano,Nenhuma,Sudeste,Motorista,2934.48
36.0,7.0,Técnico,Italiano,Inglês,Centro-Oeste,Arquiteto,8928.54
22.0,14.0,Mestrado,Inglês,Nenhuma,Sul,Médico,23214.43
28.0,14.0,Mestrado,Inglês,Espanhol,Sul,Médico,22354.9
29.0,38.0,Fundamental,Francês,Nenhuma,Sul,Advogado,13797.42
27.0,21.0,Superior,Nenhuma,Inglês,Norte,Consultor,6032.45
25.0,17.0,Médio,Italiano,Inglês,Sul,Professor,7128.42
41.0,15.0,Técnico,Inglês,Inglês,Sul,Técnico,6611.63
45.0,1.0,Fundamental,Inglês,Nenhuma,Sudeste,Vendedor,2221.04
58.0,35.0,Pós,Nenhuma,Nenhuma,Sul,Engenheiro,19505.62
53.0,19.0,Doutorado,Francês,Nenhuma,Nordeste,Enfermeiro,6902.2
54.0,15.0,Médio,Inglês,Nenhuma,Norte,Designer,4632.01
38.0,2.0,Técnico,Italiano,Nenhuma,Nordeste,Técnico,2717.55
25.0,29.0,Médio,Inglês,Inglês,Norte,Engenheiro,15207.02
26.0,1.0,Doutorado,Inglês,Espanhol,Sudeste,Advogado,19651.7
64.0,34.0,Fundamental,Inglês,Nenhuma,Sul,Vendedor,2985.35
32.0,,Superior,Italiano,Nenhuma,Nordeste,Pesquisador,11413.56
65.0,4.0,Mestrado,Inglês,Alemão,Sudeste,Cientista,20531.51
63.0,1.0,Médio,Inglês,Nenhuma,Sudeste,Professor,4986.65
57.0,19.0,Superior,Italiano,Nenhuma,Nordeste,Consultor,6121.35
35.0,33.0,Médio,Italiano,Nenhuma,Sul,Economista,erro
59.0,33.0,Mestrado,Inglês,Nenhuma,Sul,Arquiteto,19373.93
37.0,19.0,Técnico,Inglês,Nenhuma,Nordeste,Policial,5144.84
23.0,24.0,Doutorado,Inglês,Nenhuma,Sudeste,Policial,14561.35
29.0,19.0,Doutorado,Alemão,Nenhuma,Nordeste,Motorista,6148.13
19.0,24.0,Pós,Inglês,Nenhuma,Sudeste,Analista de Dados,19334.14
24.0,13.0,Superior,Inglês,Inglês,Centro-Oeste,Designer,7504.11
33.0,38.0,Pós,Inglês,Nenhuma,Nordeste,Engenheiro,22830.55
20.0,11.0,Médio,Nenhuma,Inglês,Sudeste,Enfermeiro,4818.25
62.0,4.0,Técnico,Nenhuma,Italiano,Sul,Policial,3523.13
erro,1.0,Fundamental,Inglês,Nenhuma,Sudeste,Policial,2676.04
44.0,15.0,Superior,Inglês,Italiano,Sudeste,Arquiteto,228539.19999999998
60.0,29.0,Mestrado,Inglês,Francês,Norte,Designer,11676.77
57.0,37.0,Doutorado,Inglês,Inglês,Norte,Designer,19859.87
55.0,23.0,Superior,Francês,Francês,Sudeste,Técnico,7977.56
50.0,29.0,Pós,Nenhuma,Espanhol,Sudeste,Médico,19452.16
45.0,36.0,Mestrado,Nenhuma,Francês,Sudeste,Analista de Dados,23539.1
18.0,38.0,Doutorado,Nenhuma,Nenhuma,Centro-Oeste,Pesquisador,23419.15
25.0,10.0,Superior,Nenhuma,Nenhuma,Norte,Arquiteto,8012.31
54.0,13.0,Médio,Inglês,Nenhuma,Norte,Consultor,4349.36
49.0,22.0,Superior,Nenhuma,Inglês,Sul,Economista,9648.57
65.0,15.0,Superior,Inglês,Nenhuma,Nordeste,Analista de Dados,11665.06
60.0,20.0,Superior,Nenhuma,Espanhol,Sul,Engenheiro,14313.12
54.0,3.0,Doutorado,Inglês,Italiano,Centro-Oeste,Arquiteto,18529.08
21.0,32.0,Doutorado,Inglês,Nenhuma,Sudeste,Motorista,10735.61
47.0,13.0,Técnico,Inglês,Nenhuma,Nordeste,Policial,4112.32
23.0,18.0,Médio,Inglês,Nenhuma,Sudeste,Policial,5316.81
63.0,4.0,Médio,Francês,Nenhuma,Sul,Pesquisador,8891.97
36.0,35.0,Médio,Nenhuma,Nenhuma,Sul,Economista,6543.49
49.0,30.0,Técnico,Inglês,Nenhuma,Sudeste,Técnico,6664.19
26.0,17.0,Mestrado,Inglês,Nenhuma,Sudeste,Vendedor,
29.0,30.0,Superior,Inglês,Francês,Sul,Enfermeiro,8404.09
28.0,29.0,Superior,Inglês,Nenhuma,Nordeste,Consultor,8699.87
63.0,20.0,Médio,Inglês,Alemão,Sudeste,Vendedor,4060.89
33.0,29.0,Superior,Inglês,Nenhuma,Sudeste,Agrônomo,10126.79
18.0,3.0,Mestrado,Inglês,Nenhuma,Nordeste,Advogado,17826.1
62.0,4.0,Pós,Nenhuma,Inglês,Norte,Enfermeiro,4877.26
38.0,9.0,Médio,Nenhuma,Inglês,Nordeste,Motorista,2375.47
47.0,26.0,Mestrado,Inglês,Inglês,Sudeste,Cientista,23243.27
30.0,15.0,Técnico,Nenhuma,Espanhol,Sudeste,Motorista,3385.94
51.0,29.0,Superior,Inglês,Nenhuma,Norte,Analista de Dados,15849.99
21.0,12.0,Médio,Italiano,Espanhol,Sudeste,Economista,6373.77
45.0,35.0,Superior,Francês,Nenhuma,Centro-Oeste,Arquiteto,11579.86
55.0,20.0,Fundamental,Inglês,Nenhuma,Norte,Cientista,9442.97
48.0,39.0,Superior,Inglês,Inglês,Sul,Programador,18029.75
44.0,,Superior,Nenhuma,Inglês,Nordeste,Técnico,4314.49
22.0,19.0,Médio,Inglês,Nenhuma,Sudeste,Arquiteto,10501.28
42.0,19.0,Doutorado,Inglês,Nenhuma,Sudeste,Pesquisador,25467.62
20.0,4.0,Fundamental,Nenhuma,Espanhol,Sudeste,Pesquisador,5755.69
50.0,31.0,Mestrado,Inglês,Nenhuma,Nordeste,Médico,23919.94
,5.0,Técnico,Inglês,Inglês,Centro-Oeste,Técnico,4546.82
42.0,29.0,Pós,Nenhuma,Nenhuma,Nordeste,Advogado,19189.36
37.0,25.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Arquiteto,11861.17
51.0,36.0,Médio,Nenhuma,Inglês,Norte,Programador,9337.38
43.0,12.0,Técnico,Inglês,Inglês,Nordeste,Designer,7586.71
22.0,,Superior,Inglês,Inglês,Nordeste,Arquiteto,13887.73
52.0,4.0,Mestrado,Italiano,Francês,Sudeste,Enfermeiro,6693.69
45.0,24.0,Doutorado,Italiano,Italiano,Sudeste,Pesquisador,26044.22
46.0,12.0,Fundamental,Alemão,Inglês,Sul,Vendedor,1781.53
26.0,23.0,Técnico,Nenhuma,Francês,Nordeste,Arquiteto,9593.94
55.0,30.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Policial,5892.64
23.0,19.0,Superior,Francês,Inglês,Sudeste,Advogado,15481.58
36.0,7.0,Doutorado,Inglês,Alemão,Sul,Enfermeiro,11336.21
61.0,8.0,Fundamental,Inglês,Nenhuma,Centro-Oeste,Programador,6560.19
erro,20.0,Superior,Inglês,Nenhuma,Nordeste,Analista de Dados,11245.54
19.0,19.0,Superior,Inglês,Nenhuma,Centro-Oeste,Pesquisador,13444.27
64.0,14.0,Médio,Inglês,Nenhuma,Centro-Oeste,Designer,6776.14
61.0,25.0,Pós,Francês,Inglês,Norte,Agrônomo,erro
61.0,10.0,Médio,Francês,Nenhuma,Centro-Oeste,Motorista,2586.32
26.0,36.0,Superior,Francês,Nenhuma,Sudeste,Designer,9095.82
38.0,10.0,Superior,Inglês,Nenhuma,Nordeste,Motorista,3884.5
41.0,26.0,Técnico,Inglês,Nenhuma,Sul,Arquiteto,265714.0
51.0,29.0,Médio,Inglês,Nenhuma,Sudeste,Programador,14893.69
39.0,18.0,Doutorado,Francês,Nenhuma,Sudeste,Motorista,5826.73
20.0,33.0,Doutorado,Alemão,Inglês,Sudeste,Professor,18655.56
29.0,37.0,Doutorado,Alemão,Nenhuma,Centro-Oeste,Analista de Dados,22641.13
erro,22.0,Doutorado,Inglês,Nenhuma,Nordeste,Programador,21333.88
,0.0,Médio,Inglês,Inglês,Sul,Pesquisador,9469.54
43.0,2.0,Médio,Nenhuma,Nenhuma,Sul,Administrador,3974.03
65.0,2.0,Fundamental,Inglês,Inglês,Sudeste,Administrador,4489.97
38.0,27.0,Mestrado,Francês,Inglês,Nordeste,Pesquisador,18586.88
45.0,13.0,Pós,Inglês,Inglês,Centro-Oeste,Analista de Dados,15618.74
43.0,29.0,Superior,Inglês,Espanhol,Centro-Oeste,Enfermeiro,8669.4
50.0,4.0,Doutorado,Inglês,Nenhuma,Nordeste,Técnico,6363.25
38.0,14.0,Superior,Nenhuma,Inglês,Sudeste,Policial,5869.93
52.0,37.0,Médio,Inglês,Nenhuma,Nordeste,Policial,5260.94
51.0,13.0,Médio,Nenhuma,Alemão,Nordeste,Consultor,5860.68
58.0,13.0,Médio,Nenhuma,Nenhuma,Norte,Agrônomo,3341.41
64.0,7.0,Técnico,Francês,Nenhuma,Sudeste,Engenheiro,9668.73
35.0,7.0,Técnico,Inglês,Nenhuma,Sul,Designer,5950.69
28.0,18.0,Pós,Nenhuma,Nenhuma,Sudeste,Motorista,4820.73
40.0,31.0,Médio,Alemão,Alemão,Sul,Engenheiro,16224.49
65.0,30.0,Pós,Inglês,Nenhuma,Sul,Designer,11462.8
39.0,28.0,Superior,Alemão,Nenhuma,Sudeste,Agrônomo,7349.97
34.0,10.0,Doutorado,Inglês,Italiano,Nordeste,Técnico,9581.17
22.0,12.0,Pós,Inglês,Inglês,Centro-Oeste,Analista de Dados,15104.46
61.0,26.0,Doutorado,Nenhuma,Nenhuma,Sudeste,Arquiteto,19998.36
28.0,18.0,Técnico,Italiano,Nenhuma,Centro-Oeste,Enfermeiro,5067.39
47.0,25.0,Médio,Alemão,Nenhuma,Sudeste,Técnico,4925.0
32.0,36.0,Superior,Inglês,Nenhuma,Nordeste,Consultor,10083.0
44.0,8.0,Médio,Nenhuma,Nenhuma,Centro-Oeste,Consultor,4652.43
52.0,27.0,Superior,Alemão,Nenhuma,Sudeste,Administrador,9498.52
50.0,31.0,Técnico,Inglês,Espanhol,Nordeste,Engenheiro,16757.78
37.0,2.0,Superior,Alemão,Nenhuma,Sudeste,Policial,4495.62
33.0,31.0,Doutorado,Inglês,Nenhuma,Sudeste,Engenheiro,37751.95
51.0,4.0,Técnico,Inglês,Nenhuma,Centro-Oeste,Técnico,3866.45
19.0,7.0,Doutorado,Nenhuma,Francês,Centro-Oeste,Economista,9560.72
52.0,13.0,Médio,Nenhuma,Nenhuma,Sul,Economista,5139.21
57.0,2.0,Médio,Inglês,Espanhol,Sudeste,Advogado,9590.99
45.0,23.0,Superior,Alemão,Nenhuma,Sudeste,Técnico,5608.35
64.0,12.0,Mestrado,Nenhuma,Inglês,Sul,Pesquisador,
56.0,28.0,Pós,Italiano,Nenhuma,Centro-Oeste,Técnico,6071.66
23.0,7.0,Pós,Inglês,Inglês,Nordeste,Analista de Dados,13760.85
26.0,30.0,Técnico,Inglês,Nenhuma,Nordeste,Motorista,3772.83
37.0,25.0,Fundamental,Inglês,Espanhol,Sudeste,Arquiteto,8840.96
18.0,17.0,Médio,Nenhuma,Nenhuma,Sul,Enfermeiro,4079.51
25.0,17.0,Técnico,Italiano,Nenhuma,Sul,Programador,8086.86
,6.0,Doutorado,Inglês,Nenhuma,Sudeste,Administrador,15097.48
20.0,37.0,Doutorado,Nenhuma,Nenhuma,Nordeste,Analista de Dados,19019.71
,15.0,Médio,Nenhuma,Espanhol,Sul,Agrônomo,4073.66
42.0,32.0,Pós,Inglês,Italiano,Sul,Cientista,20136.68
64.0,2.0,Superior,Francês,Inglês,Nordeste,Analista de Dados,6464.58
55.0,37.0,Fundamental,Francês,Inglês,Sul,Médico,14597.21
32.0,3.0,Técnico,Italiano,Inglês,Centro-Oeste,Motorista,2419.3
38.0,35.0,Superior,Francês,Alemão,Norte,Designer,7406.38
52.0,3.0,Superior,Alemão,Nenhuma,Sul,Técnico,4926.04
63.0,8.0,Técnico,Nenhuma,Nenhuma,Norte,Médico,8268.73
31.0,39.0,Doutorado,Alemão,Nenhuma,Norte,Motorista,6899.83
53.0,16.0,Superior,Inglês,Inglês,Sul,Cientista,16782.37
29.0,16.0,Médio,Inglês,Nenhuma,Nordeste,Designer,5112.74
34.0,32.0,Técnico,Inglês,Nenhuma,Sudeste,Professor,10578.57
56.0,19.0,Pós,Inglês,Nenhuma,Sul,Advogado,19625.47
26.0,13.0,Superior,Inglês,Nenhuma,Sul,Designer,9523.57
52.0,21.0,Pós,Nenhuma,Inglês,Nordeste,Técnico,7566.45
30.0,26.0,Técnico,Nenhuma,Nenhuma,Sudeste,Pesquisador,erro
32.0,2.0,Técnico,Nenhuma,Nenhuma,Norte,Agrônomo,2871.07
35.0,23.0,Técnico,Nenhuma,Nenhuma,Norte,Economista,6787.83
50.0,29.0,Médio,Inglês,Espanhol,Sul,Cientista,16039.9
23.0,7.0,Superior,Inglês,Inglês,Centro-Oeste,Consultor,6050.06
44.0,21.0,Técnico,Inglês,Nenhuma,Nordeste,Programador,9064.96
40.0,24.0,Técnico,Inglês,Nenhuma,Sudeste,Policial,7177.69
,9.0,Técnico,Nenhuma,Nenhuma,Nordeste,Policial,3312.04
51.0,28.0,Superior,Francês,Inglês,Sul,Policial,8305.52
63.0,39.0,Pós,Inglês,Nenhuma,Sudeste,Agrônomo,12618.75
55.0,0.0,Mestrado,Inglês,Espanhol,Centro-Oeste,Policial,6890.54
31.0,20.0,Mestrado,Inglês,Espanhol,Centro-Oeste,Advogado,18550.74
53.0,38.0,Superior,Inglês,Nenhuma,Sul,Administrador,12050.68
25.0,23.0,Técnico,Inglês,Nenhuma,Sul,Advogado,16016.68
erro,8.0,Pós,Italiano,Nenhuma,Sul,Professor,7197.52
36.0,25.0,Fundamental,Nenhuma,Espanhol,Sudeste,Técnico,4725.97
47.0,8.0,Pós,Nenhuma,Alemão,Sul,Técnico,5869.09
31.0,19.0,Pós,Alemão,Italiano,Sudeste,Professor,11086.84
37.0,34.0,Superior,Inglês,Nenhuma,Sudeste,Arquiteto,20198.48
42.0,35.0,Médio,Nenhuma,Inglês,Sudeste,Advogado,17732.48
57.0,35.0,Doutorado,Italiano,Espanhol,Sudeste,Economista,19388.42
41.0,8.0,Pós,Alemão,Nenhuma,Sudeste,Advogado,14380.27
31.0,21.0,Pós,Nenhuma,Nenhuma,Nordeste,Cientista,12166.29
43.0,0.0,Médio,Inglês,Nenhuma,Nordeste,Designer,4870.92
55.0,4.0,Técnico,Inglês,Inglês,Sul,Policial,4514.25
40.0,8.0,Médio,Nenhuma,Francês,Sudeste,Advogado,10509.31
39.0,36.0,Técnico,Alemão,Francês,Sul,Professor,8332.82
65.0,37.0,Superior,Francês,Nenhuma,Sudeste,Vendedor,5815.24
36.0,18.0,Mestrado,Inglês,Nenhuma,Norte,Cientista,21022.02
63.0,7.0,Técnico,Inglês,Inglês,Nordeste,Programador,10082.02
20.0,31.0,Superior,Inglês,Nenhuma,Sudeste,Vendedor,5890.15
59.0,12.0,Médio,Inglês,Nenhuma,Nordeste,Designer,6178.8
36.0,19.0,Técnico,Inglês,Nenhuma,Norte,Técnico,4696.99
26.0,35.0,Doutorado,Inglês,Inglês,Nordeste,Analista de Dados,23444.92
45.0,36.0,Pós,Alemão,Nenhuma,Sudeste,Agrônomo,8380.39
37.0,29.0,Superior,Nenhuma,Nenhuma,Nordeste,Designer,7057.33
62.0,9.0,Técnico,Nenhuma,Inglês,Norte,Motorista,2830.78
24.0,30.0,Técnico,Inglês,Nenhuma,Sudeste,Arquiteto,18016.89
31.0,24.0,Médio,Nenhuma,Nenhuma,Sul,Consultor,5644.38
26.0,28.0,Técnico,Alemão,Alemão,Sul,Economista,7908.93
36.0,23.0,Médio,Francês,Nenhuma,Sul,Consultor,7438.37
64.0,38.0,Pós,Inglês,Inglês,Norte,Administrador,14550.77
31.0,20.0,Médio,Inglês,Nenhuma,Nordeste,Vendedor,3007.62
55.0,8.0,Médio,Nenhuma,Inglês,Nordeste,Programador,6643.28
53.0,1.0,Superior,Inglês,Nenhuma,Sudeste,Arquiteto,12236.62
57.0,3.0,Doutorado,Inglês,Nenhuma,Sul,Técnico,6911.13
34.0,7.0,Doutorado,Inglês,Nenhuma,Sudeste,Analista de Dados,23801.8
47.0,31.0,Mestrado,Inglês,Nenhuma,Centro-Oeste,Arquiteto,17089.34
26.0,13.0,Médio,Francês,Alemão,Sul,Programador,10047.72
50.0,12.0,Técnico,Nenhuma,Espanhol,Sudeste,Economista,5151.91
42.0,20.0,Mestrado,Italiano,Alemão,Nordeste,Economista,11914.43
31.0,23.0,Mestrado,Nenhuma,Nenhuma,Sudeste,Advogado,19436.35
28.0,17.0,Superior,Nenhuma,Italiano,Norte,Designer,7300.83
52.0,39.0,Técnico,Inglês,Espanhol,Norte,Consultor,7037.62
58.0,25.0,Médio,Inglês,Espanhol,Sudeste,Professor,7160.93
31.0,31.0,Mestrado,Inglês,Nenhuma,Sudeste,Analista de Dados,29081.23
47.0,32.0,Médio,Inglês,Nenhuma,Nordeste,Enfermeiro,6187.0
58.0,30.0,Superior,Italiano,Nenhuma,Sudeste,Consultor,11450.12
21.0,17.0,Doutorado,Inglês,Nenhuma,Sudeste,Designer,15966.12
21.0,34.0,Pós,Inglês,Alemão,Sul,Enfermeiro,erro
45.0,11.0,Técnico,Inglês,Nenhuma,Sudeste,Vendedor,3156.31
25.0,24.0,Técnico,Alemão,Nenhuma,Nordeste,Médico,14220.89
19.0,30.0,Médio,Francês,Nenhuma,Norte,Engenheiro,10815.79
58.0,9.0,Superior,Nenhuma,Inglês,Sul,Advogado,15684.87
63.0,33.0,Superior,Inglês,Nenhuma,Norte,Consultor,10180.4
39.0,2.0,Médio,Francês,Inglês,Sul,Advogado,9051.72
58.0,38.0,Médio,Inglês,Nenhuma,Centro-Oeste,Analista de Dados,14458.58
33.0,7.0,Fundamental,Inglês,Nenhuma,Centro-Oeste,Engenheiro,8383.99
46.0,31.0,Doutorado,Inglês,Nenhuma,Sudeste,Técnico,
65.0,28.0,Mestrado,Inglês,Espanhol,Nordeste,Analista de Dados,21111.9
47.0,21.0,Técnico,Alemão,Nenhuma,Sudeste,Pesquisador,11388.83
29.0,19.0,Doutorado,Inglês,Inglês,Centro-Oeste,Economista,14071.55
52.0,5.0,Superior,Inglês,Alemão,Sudeste,Arquiteto,13927.48
28.0,28.0,Pós,Inglês,Nenhuma,Norte,Engenheiro,23271.0
63.0,16.0,Superior,Francês,Italiano,Nordeste,Designer,6633.3
38.0,30.0,Pós,Francês,Nenhuma,Norte,Engenheiro,21120.67
38.0,33.0,Médio,Italiano,Nenhuma,Centro-Oeste,Policial,5672.57
22.0,37.0,Superior,Alemão,Nenhuma,Nordeste,Arquiteto,14749.83
65.0,36.0,Mestrado,Francês,Alemão,Norte,Pesquisador,18921.31
37.0,3.0,Fundamental,Inglês,Nenhuma,Sul,Programador,5561.74
54.0,1.0,Médio,Inglês,Espanhol,Centro-Oeste,Advogado,8362.67
20.0,11.0,Médio,Italiano,Nenhuma,Sul,Advogado,8453.43
61.0,34.0,Técnico,Francês,Espanhol,Sul,Motorista,4446.79
50.0,5.0,Médio,Nenhuma,Inglês,Sudeste,Cientista,9026.91
26.0,7.0,Superior,Nenhuma,Inglês,Sudeste,Pesquisador,13658.99
26.0,20.0,Técnico,Nenhuma,Nenhuma,Sudeste,Técnico,
21.0,34.0,Médio,Nenhuma,Inglês,Sudeste,Motorista,3531.18
52.0,14.0,Doutorado,Francês,Nenhuma,Sudeste,Consultor,10615.9
34.0,6.0,Superior,Inglês,Nenhuma,Sudeste,Pesquisador,12992.9
51.0,14.0,Médio,Inglês,Espanhol,Centro-Oeste,Cientista,10841.01
41.0,5.0,Técnico,Nenhuma,Espanhol,Sul,Pesquisador,8587.15
49.0,16.0,Pós,Inglês,Nenhuma,Sudeste,Pesquisador,23225.21
18.0,3.0,Pós,Inglês,Inglês,Centro-Oeste,Médico,14129.91
25.0,21.0,Médio,Inglês,Nenhuma,Centro-Oeste,Vendedor,2772.06
62.0,31.0,Doutorado,Inglês,Espanhol,Sudeste,Analista de Dados,25940.63
40.0,21.0,Pós,Alemão,Alemão,Norte,Programador,11287.09
64.0,26.0,Mestrado,Francês,Italiano,Sul,Cientista,18183.19
57.0,14.0,Médio,Francês,Nenhuma,Sudeste,Policial,4162.19
29.0,21.0,Médio,Alemão,Nenhuma,Sudeste,Pesquisador,11824.54
29.0,27.0,Técnico,Inglês,Inglês,Nordeste,Pesquisador,13027.63
63.0,37.0,Médio,Inglês,Nenhuma,Sudeste,Enfermeiro,7530.4
64.0,8.0,Médio,Nenhuma,Espanhol,Centro-Oeste,Economista,4281.66
32.0,33.0,Médio,Inglês,Nenhuma,Sul,Programador,12015.19
58.0,35.0,Pós,Alemão,Nenhuma,Sul,Motorista,5622.67
36.0,8.0,Fundamental,Alemão,Nenhuma,Sudeste,Policial,2882.9
43.0,14.0,Médio,Inglês,Nenhuma,Norte,Enfermeiro,4645.26
46.0,19.0,Doutorado,Inglês,Nenhuma,Sudeste,Designer,14061.72
39.0,7.0,Médio,Inglês,Nenhuma,Norte,Cientista,8848.42
57.0,27.0,Superior,Inglês,Inglês,Sudeste,Policial,8689.67
38.0,18.0,Superior,Inglês,Nenhuma,Sudeste,Médico,17522.34
55.0,15.0,Doutorado,Nenhuma,Nenhuma,Centro-Oeste,Advogado,25262.16
37.0,10.0,Mestrado,Alemão,Inglês,Centro-Oeste,Motorista,4346.39
46.0,7.0,Superior,Inglês,Alemão,Sudeste,Médico,17668.16
21.0,32.0,Doutorado,Alemão,Alemão,Nordeste,Economista,14541.19
24.0,9.0,Superior,Inglês,Nenhuma,Norte,Consultor,6107.87
45.0,17.0,Superior,Inglês,Nenhuma,Sudeste,Vendedor,5304.71
45.0,,Técnico,Nenhuma,Inglês,Sudeste,Pesquisador,18867.73
21.0,2.0,Superior,Nenhuma,Nenhuma,Sudeste,Engenheiro,13494.56
39.0,39.0,Superior,Francês,Nenhuma,Sul,Enfermeiro,7899.84
29.0,26.0,Superior,Nenhuma,Nenhuma,Sudeste,Médico,20543.81
62.0,27.0,Superior,Nenhuma,Nenhuma,Norte,Cientista,14069.11
20.0,5.0,Médio,Alemão,Francês,Nordeste,Economista,4542.61
39.0,13.0,Técnico,Nenhuma,Nenhuma,Sudeste,Enfermeiro,4185.48
61.0,6.0,Pós,Alemão,Nenhuma,Sul,Enfermeiro,5763.07
19.0,9.0,Médio,Inglês,Nenhuma,Nordeste,Programador,7987.99
41.0,14.0,Técnico,Nenhuma,Nenhuma,Norte,Advogado,8150.1
51.0,30.0,Superior,Inglês,Nenhuma,Centro-Oeste,Programador,16004.24
44.0,28.0,Doutorado,Inglês,Alemão,Norte,Designer,18299.36
58.0,16.0,Médio,Inglês,Nenhuma,Sudeste,Engenheiro,14011.49
18.0,28.0,Superior,Nenhuma,Nenhuma,Norte,Economista,6267.54
25.0,14.0,Médio,Inglês,Alemão,Norte,Enfermeiro,4453.38
40.0,25.0,Técnico,Inglês,Nenhuma,Sul,Designer,7684.19
,11.0,Médio,Inglês,Nenhuma,Sudeste,Arquiteto,10093.06
23.0,24.0,Superior,Alemão,Inglês,Nordeste,Agrônomo,6426.73
39.0,4.0,Pós,Inglês,Nenhuma,Sudeste,Professor,8906.89
42.0,3.0,Médio,Alemão,Espanhol,Nordeste,Arquiteto,5092.52
35.0,30.0,Pós,Nenhuma,Nenhuma,Sudeste,Policial,10079.64
34.0,2.0,Superior,Inglês,Italiano,Sul,Advogado,11367.89
29.0,2.0,Técnico,Nenhuma,Espanhol,Sudeste,Advogado,8236.57
23.0,25.0,Superior,Inglês,Nenhuma,Centro-Oeste,Engenheiro,21181.62
43.0,16.0,Técnico,Inglês,Italiano,Centro-Oeste,Vendedor,2733.92
44.0,9.0,Médio,Italiano,Francês,Norte,Analista de Dados,6515.3
25.0,1.0,Pós,Nenhuma,Espanhol,Sudeste,Médico,13984.44
36.0,23.0,Pós,Inglês,Nenhuma,Sudeste,Economista,11879.66
59.0,10.0,Mestrado,Francês,Italiano,Nordeste,Consultor,6918.61
18.0,23.0,Técnico,Inglês,Nenhuma,Sudeste,Pesquisador,17401.76
46.0,34.0,Médio,Alemão,Alemão,Sudeste,Professor,8321.21
62.0,22.0,Mestrado,Italiano,Nenhuma,Nordeste,Engenheiro,16011.21
,31.0,Técnico,Inglês,Nenhuma,Sudeste,Médico,20146.87
57.0,22.0,Pós,Italiano,Inglês,Nordeste,Arquiteto,14837.9
31.0,33.0,Mestrado,Inglês,Nenhuma,Sudeste,Policial,11646.21
52.0,,Pós,Francês,Inglês,Sudeste,Motorista,4570.54
65.0,1.0,Técnico,Francês,Nenhuma,Sul,Policial,3167.52
62.0,1.0,Doutorado,Francês,Nenhuma,Centro-Oeste,Vendedor,4174.57
37.0,14.0,Superior,Inglês,Inglês,Nordeste,Designer,6727.89
30.0,20.0,Superior,Inglês,Nenhuma,Norte,Advogado,13900.63
55.0,34.0,Superior,Nenhuma,Nenhuma,Nordeste,Enfermeiro,7518.57
erro,4.0,Fundamental,Nenhuma,Nenhuma,Sudeste,Técnico,2443.97
25.0,26.0,Técnico,Alemão,Inglês,Sul,Engenheiro,13183.35
60.0,23.0,Mestrado,Alemão,Nenhuma,Sudeste,Advogado,23535.52
37.0,6.0,Médio,Italiano,Nenhuma,Sul,Vendedor,1888.84
50.0,5.0,Superior,Inglês,Nenhuma,Sudeste,Analista de Dados,9394.43
43.0,32.0,Superior,Inglês,Inglês,Sudeste,Motorista,5433.12
56.0,16.0,Técnico,Italiano,Francês,Sul,Arquiteto,9336.44
38.0,29.0,Superior,Inglês,Nenhuma,Nordeste,Enfermeiro,5872.49
59.0,7.0,Doutorado,Nenhuma,Francês,Norte,Economista,8162.84
60.0,39.0,Técnico,Inglês,Nenhuma,Sul,Consultor,11046.4
58.0,6.0,Pós,Alemão,Nenhuma,Sudeste,Economista,7073.77
26.0,5.0,Pós,Francês,Nenhuma,Sudeste,Programador,11682.42
41.0,3.0,Superior,Inglês,Espanhol,Sudeste,Administrador,7166.8
54.0,0.0,Médio,Alemão,Nenhuma,Sudeste,Cientista,8723.42
58.0,14.0,Superior,Francês,Nenhuma,Sudeste,Motorista,4193.47
34.0,,Doutorado,Inglês,Alemão,Sudeste,Economista,24919.52
41.0,24.0,Técnico,Alemão,Espanhol,Nordeste,Motorista,3062.97
38.0,32.0,Superior,Inglês,Espanhol,Nordeste,Cientista,383511.4
56.0,34.0,Doutorado,Alemão,Inglês,Sudeste,Economista,20439.17
58.0,4.0,Pós,Inglês,Inglês,Sudeste,Advogado,21094.43
56.0,4.0,Superior,Italiano,Alemão,Centro-Oeste,Professor,6236.87
30.0,35.0,Doutorado,Inglês,Nenhuma,Sul,Programador,27330.07
28.0,16.0,Médio,Francês,Nenhuma,Norte,Designer,3856.35
63.0,13.0,Pós,Italiano,Nenhuma,Sudeste,Pesquisador,17491.91
36.0,28.0,Superior,Italiano,Nenhuma,Sudeste,Motorista,4068.26
28.0,7.0,Técnico,Nenhuma,Nenhuma,Norte,Consultor,4407.94
